date,headline_text,primary_category,categories,is_market_prices,is_supply_geopolitics,is_consumer_fuel,market_match_rule,supply_match_rule,consumer_match_rule,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_label
2003-08-07,tas petrol prices up almost 3 cents in july,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-08-09,oil prices slip,market_prices,market_prices,True,False,False,oil_price,,,0.0,0.0,0.0,1.0,neutral
2003-08-10,navy intercepts alleged iraq oil smugglers,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_country,,-0.34,0.0,0.324,0.676,negative
2003-08-16,iraqs key oil pipeline to turkey hit by fire,supply_geopolitics,supply_geopolitics,False,True,False,,oil_infrastructure_disruption,,-0.34,0.0,0.231,0.769,negative
2003-08-17,fire still raging at iraqi oil export pipeline,supply_geopolitics,supply_geopolitics,False,True,False,,oil_core_supply,,-0.7003,0.0,0.492,0.508,negative
2003-08-17,sabotage halts iraqi oil exports,supply_geopolitics,supply_geopolitics,False,True,False,,oil_core_supply,,-0.5267,0.0,0.459,0.541,negative
2003-08-19,coalition hires oil guards in iraq,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_country,,0.0,0.0,0.0,1.0,neutral
2003-08-20,racv predicts petrol price spike wont last,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-08-21,high oil price pumps woodside profit,market_prices,market_prices,True,False,False,oil_price,,,0.4404,0.367,0.0,0.633,positive
2003-08-25,shale oil impact report to be assessed,supply_geopolitics,supply_geopolitics,False,True,False,,shale_oil,,0.0,0.0,0.0,1.0,neutral
2003-08-26,greenpeace airs shale oil reef concerns,supply_geopolitics,supply_geopolitics,False,True,False,,shale_oil,,0.0,0.0,0.0,1.0,neutral
2003-09-15,iraq oil industry up and running,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.0,0.0,0.0,1.0,neutral
2003-09-16,iraq to attend its first post war opec meeting,supply_geopolitics,supply_geopolitics,False,True,False,,opec,,-0.5994,0.0,0.328,0.672,negative
2003-09-17,oil firm tries again to access gas reserve,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.0,0.0,0.0,1.0,neutral
2003-09-19,warwick enjoys lowest fuel price,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.1779,0.371,0.292,0.337,positive
2003-09-24,oil prices surge on opec cut,market_prices,market_prices;supply_geopolitics,True,True,False,oil_price,opec,,-0.2732,0.0,0.296,0.704,negative
2003-09-25,jet fuel shortage to cause national flight delays,supply_geopolitics,supply_geopolitics,False,True,False,,fuel_shortage_security,,-0.25,0.0,0.222,0.778,negative
2003-09-25,opec oil cut hits share market,market_prices,market_prices;supply_geopolitics,True,True,False,oil_and_financial_market,opec,,0.0258,0.265,0.253,0.482,neutral
2003-09-25,petroleum exploration spending rises in wa,supply_geopolitics,supply_geopolitics,False,True,False,,petroleum_context,,0.2263,0.275,0.0,0.725,positive
2003-09-26,airlines fight fuel shortage,supply_geopolitics,supply_geopolitics,False,True,False,,fuel_shortage_security,,-0.5574,0.0,0.697,0.303,negative
2003-09-26,crude oil prices stay high after opec cut,market_prices,market_prices;supply_geopolitics,True,True,False,crude_oil,opec,,-0.7003,0.0,0.492,0.508,negative
2003-09-26,flights delayed amid fuel shortage,supply_geopolitics,supply_geopolitics,False,True,False,,fuel_shortage_security,,-0.4404,0.0,0.565,0.435,negative
2003-09-26,fuel shortage brings flight delays,supply_geopolitics,supply_geopolitics,False,True,False,,fuel_shortage_security,,-0.25,0.0,0.333,0.667,negative
2003-09-26,jet fuel shortage problems almost over,supply_geopolitics,supply_geopolitics,False,True,False,,fuel_shortage_security,,-0.5719,0.0,0.54,0.46,negative
2003-09-28,virgin tallies cost of jet fuel shortage,supply_geopolitics,supply_geopolitics;consumer_fuel,False,True,True,,fuel_shortage_security,reversed_fuel_price_or_cost,-0.25,0.0,0.25,0.75,negative
2003-09-30,putin under kyoto pressure from oil companies wwf,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,-0.296,0.0,0.239,0.761,negative
2003-09-30,sydney airport fuel shortage under investigation,supply_geopolitics,supply_geopolitics,False,True,False,,fuel_shortage_security,,-0.25,0.0,0.286,0.714,negative
