event_id,anchor_date,anchor_direction,anchor_absolute_return_pct,relative_trading_day,observation_date,observation_brent_price,all_oil_rate,all_oil_count,market_prices_rate,market_prices_count,supply_geopolitics_rate,supply_geopolitics_count,consumer_fuel_rate,consumer_fuel_count,all_oil_pre_event_baseline,all_oil_excess_over_baseline,market_prices_pre_event_baseline,market_prices_excess_over_baseline,supply_geopolitics_pre_event_baseline,supply_geopolitics_excess_over_baseline,consumer_fuel_pre_event_baseline,consumer_fuel_excess_over_baseline
39,2011-06-15,decrease,4.719567926879931,1,2011-06-16,114.69,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2011-06-15,decrease,4.719567926879931,2,2011-06-17,113.74,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2011-06-15,decrease,4.719567926879931,3,2011-06-20,112.21,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2011-06-15,decrease,4.719567926879931,4,2011-06-21,112.02,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2011-06-15,decrease,4.719567926879931,5,2011-06-22,113.59,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2012-06-01,decrease,5.035624879645684,-5,2012-05-24,107.2,2.9940119760479043,1,2.9940119760479043,1,0.0,0,0.0,0,2.6496436784226223,0.344368297625282,0.7485029940119761,2.245508982035928,0.9505703422053232,-0.9505703422053232,0.9505703422053232,-0.9505703422053232
40,2012-06-01,decrease,5.035624879645684,-4,2012-05-25,107.86,0.0,0,0.0,0,0.0,0,0.0,0,2.6496436784226223,-2.6496436784226223,0.7485029940119761,-0.7485029940119761,0.9505703422053232,-0.9505703422053232,0.9505703422053232,-0.9505703422053232
40,2012-06-01,decrease,5.035624879645684,-3,2012-05-29,107.55,7.604562737642586,2,0.0,0,3.802281368821293,1,3.802281368821293,1,2.6496436784226223,4.9549190592199635,0.7485029940119761,-0.7485029940119761,0.9505703422053232,2.8517110266159698,0.9505703422053232,2.8517110266159698
40,2012-06-01,decrease,5.035624879645684,-2,2012-05-30,103.85,0.0,0,0.0,0,0.0,0,0.0,0,2.6496436784226223,-2.6496436784226223,0.7485029940119761,-0.7485029940119761,0.9505703422053232,-0.9505703422053232,0.9505703422053232,-0.9505703422053232
40,2012-06-01,decrease,5.035624879645684,-1,2012-05-31,103.86,0.0,0,0.0,0,0.0,0,0.0,0,2.6496436784226223,-2.6496436784226223,0.7485029940119761,-0.7485029940119761,0.9505703422053232,-0.9505703422053232,0.9505703422053232,-0.9505703422053232
40,2012-06-01,decrease,5.035624879645684,0,2012-06-01,98.63,0.0,0,0.0,0,0.0,0,0.0,0,2.6496436784226223,-2.6496436784226223,0.7485029940119761,-0.7485029940119761,0.9505703422053232,-0.9505703422053232,0.9505703422053232,-0.9505703422053232
40,2012-06-01,decrease,5.035624879645684,1,2012-06-04,97.74,0.0,0,0.0,0,0.0,0,0.0,0,2.6496436784226223,-2.6496436784226223,0.7485029940119761,-0.7485029940119761,0.9505703422053232,-0.9505703422053232,0.9505703422053232,-0.9505703422053232
40,2012-06-01,decrease,5.035624879645684,2,2012-06-05,98.65,0.0,0,0.0,0,0.0,0,0.0,0,2.6496436784226223,-2.6496436784226223,0.7485029940119761,-0.7485029940119761,0.9505703422053232,-0.9505703422053232,0.9505703422053232,-0.9505703422053232
