date,headline_text,match_reason
2004-09-02,oil price rise impacts on us share prices,oil_market_phrase
2004-09-02,supply worries prompt jump in oil price,oil_market_phrase
2004-09-03,oil prices may increase cost of country petrol,oil_market_phrase
2004-09-03,oil prices will push interest rates up wa greens,oil_market_phrase
2004-09-03,racq calls for fuel price reductions,fuel_prices
2004-09-03,wall st investors relieved as oil prices wind back,oil_market_phrase
2004-09-04,saboteurs attack oil pipeline,oil_market_phrase
2004-09-05,production boost needed to cap oil prices iea,oil_market_phrase
2004-09-09,us urges oil sanctions against sudan,oil_market_phrase
2004-09-10,sudan oil sanctions divide un,oil_market_phrase
2004-09-11,falling oil prices boost us stocks,oil_market_phrase
2004-09-16,drones to guard australian oil reserves,oil_market_phrase
2004-09-16,opec oil pledge fails to satisfy markets,opec
2004-09-17,russian oil tanker explodes six people missing,oil_market_phrase
2004-09-20,oil prices rise as yukos slows exports,oil_market_phrase
2004-09-21,oil price dampens wall st trading,oil_market_phrase
2004-09-23,news corp oil price depresses market,oil_market_phrase
2004-09-23,rising oil price unnerves us markets,oil_market_phrase
2004-09-24,dollar climbs as oil price creeps towards record,oil_market_phrase
2004-09-24,king island fuel prices climb,fuel_prices
2004-09-24,rising oil price sparks stock sell off,oil_market_phrase
2004-09-27,oil price nears record high,oil_market_phrase
2004-09-27,security fears boost oil prices,oil_market_phrase
2004-09-28,oil price breaks usd 50 mark,oil_market_phrase
2004-09-28,oil price hits usd 50 a barrel,oil_market_phrase
2004-09-28,oil price spike may hurt economic growth,oil_market_phrase
2004-09-28,record oil prices hit us markets,oil_market_phrase
2004-09-28,saudi arabia to hike oil production capacity,oil_market_phrase
2004-09-28,unrest forces oil prices higher,oil_market_phrase
2004-09-29,wa warned of fuel price rises,fuel_prices
2004-09-30,oil prices ease on positive news from us nigeria,oil_market_phrase
2004-10-01,oil price climbs back over usd 50,oil_market_phrase
2004-10-02,oil prices hold above usd 50,oil_market_phrase
2004-10-03,oil prices threaten global recovery imf,oil_market_phrase
2004-10-05,modest gains on wall st as oil price slips,oil_market_phrase
2004-10-05,oil surges to record high,oil_price_movement
2004-10-06,oil prices higher on supply worries,oil_market_phrase
2004-10-06,oil prices to keep interest rate down,oil_market_phrase
2004-10-06,oil supply fears weigh heavy on market,oil_market_phrase
2004-10-07,fuel price prompts power rethink in outback,fuel_prices
2004-10-07,markets optimistic despite rocketing oil price,oil_market_phrase
2004-10-07,oil price hits usd 52,oil_market_phrase
2004-10-08,oil price helps push aussie dollar up,oil_market_phrase
2004-10-08,oil price rise hits cattle operator,oil_market_phrase
2004-10-08,strike pushes oil prices to new record,oil_market_phrase
2004-10-11,brent crude hits usd 50 record,brent_market
2004-10-11,govt urged to stop rising fuel prices,fuel_prices
2004-10-11,oil prices set to ease us treasury says,oil_market_phrase
2004-10-12,high oil price slowing fuel demand growth iea,oil_market_phrase
2004-10-12,oil price nears usd 54,oil_market_phrase
2004-10-12,oil prices hold steady at usd 54,oil_market_phrase
2004-10-13,markets continue to focus on oil prices,oil_market_phrase
2004-10-13,regional link assessing oil price impact,oil_market_phrase
2004-10-14,airline considers response to rising oil prices,oil_market_phrase
2004-10-14,oil prices increase amid supply fears,oil_market_phrase
2004-10-14,rising oil price may boost air travel cost,oil_market_phrase
2004-10-15,markets hit by oil price hike,oil_market_phrase
2004-10-15,oil price fails to dampen all ords,oil_market_phrase
2004-10-18,fuel price offers mixed outlook for qld drivers,fuel_prices
2004-10-18,oil prices surge over usd 55,oil_market_phrase
2004-10-19,oil price dip boosts us markets,oil_market_phrase
2004-10-19,perth fuel prices remain competitive despite rises,fuel_prices
2004-10-20,conference hears oil price tipped to stabilise,oil_market_phrase
2004-10-20,trucking industry feels pinch of oil prices,oil_market_phrase
2004-10-21,oil price rises tipped to cut economic growth,oil_market_phrase
2004-10-21,record petrol prices prompt hold off call,fuel_prices
2004-10-23,oil prices surge higher,oil_market_phrase
2004-10-25,fuel prices spark outback tourism fears,fuel_prices
2004-10-25,motorists warned of fuel price hike,fuel_prices
2004-10-26,brisbane refinery steps toward green oil,oil_with_market_context
2004-10-26,oil price pushes perth petrol to record highs,oil_market_phrase
2004-10-27,oil price yet to hit inflation costello,oil_market_phrase
2004-10-27,petrol prices expected to weigh on inflation,fuel_prices
2004-10-28,oil prices plunge in wild trading,oil_market_phrase
2004-10-28,plunging oil price good news for inflation,oil_market_phrase
2004-10-29,beach petroleum posts 14m quarterly revenue,petroleum
2004-10-29,chinese rates rise saps crude oil price,crude_oil
2004-11-01,cars oil push trade deficit above 2b,oil_with_market_context
2004-11-02,oil traders tip kerry win driving prices lower,oil_with_market_context
2004-11-02,sabotage threatens weakened oil supplies,oil_market_phrase
2004-11-03,vote speculation pulls oil price below usd 50,oil_market_phrase
2004-11-04,oil well boosts daily production,oil_with_market_context
2004-11-05,oil price slide resumes,oil_market_phrase
2004-11-05,us stocks rise as oil price falls,oil_market_phrase
2004-11-06,russian oil production to hit 460 million tonnes,oil_market_phrase
2004-11-09,oil price fluctuation to continue says bhp chief,oil_market_phrase
2004-11-10,grey nomads unfazed by petrol prices,fuel_prices
2004-11-10,lrp phase out to fuel price rise for older cars,fuel_prices
2004-11-10,oil price drop yet to reach adelaide bowsers,oil_market_phrase
2004-11-10,racq hopes drivers to feel easing oil price,oil_market_phrase
2004-11-12,oil price loses usd 1 in renewed decline,oil_market_phrase
2004-11-12,woodside energy pioneers search for bight oil,oil_with_market_context
2004-11-13,oil price eases despite us cold snap,oil_market_phrase
2004-11-16,insurgents attack iraq oil pipeline,oil_market_phrase
2004-11-17,insurgents attack iraqi oil pipeline,oil_market_phrase
2004-11-17,saboteurs behind cuts to iraq oil exports,oil_market_phrase
2004-11-19,racq questions high petrol prices,fuel_prices
2004-11-20,oil prices jump on supply worries,oil_market_phrase
2004-11-20,us stocks drop on oil currency movements,oil_with_market_context
2004-11-24,oil prices surge again,oil_market_phrase
2004-11-27,oil prices stabilise but supply fears remain,oil_market_phrase
2004-11-30,despite fall oil price remains quite expensive,oil_market_phrase
2004-12-01,oecd tips limited oil price drop,oil_market_phrase
2004-12-02,stocks rise on back of oil price slump,oil_market_phrase
2004-12-03,no quick relief from fuel prices,fuel_prices
2004-12-03,oil prices tumble as supply fears fade,oil_market_phrase
2004-12-07,oil prices rebound on fears of opec output cut,opec
2004-12-08,energy stocks fall after oil price drop,oil_market_phrase
2004-12-09,fears holiday season to fuel petrol price rise,fuel_prices
2004-12-10,tas petrol prices queried in wake of new market,fuel_prices
2004-12-11,oil price drops as traders brush off opec cut,opec
2004-12-11,opec reassures market of surplus cuts,opec
2004-12-11,opec to cut excess oil supply,opec
2004-12-13,ract asks members to act on petrol prices,fuel_prices
2004-12-15,fresh oil reserves found in bass strait,oil_market_phrase
2004-12-15,petrol prices must come down martin says,fuel_prices
2004-12-16,oil price wall street shares climb,oil_market_phrase
2004-12-16,production ramps up after timor sea oil leak,oil_with_market_context
2004-12-17,e timor cabinet passes landmark petroleum law,petroleum
2004-12-18,ract steps up petrol price push,fuel_prices
2004-12-18,wall street slips as oil price leaps,oil_market_phrase
2004-12-21,fuel prices set to climb further,fuel_prices
2004-12-23,oil companies slammed over lack of lrp info,oil_market_phrase
2004-12-28,crude oil prices plunge,crude_oil
2004-12-29,racv praises lower petrol prices over christmas,fuel_prices
2004-12-30,oil price jumps after riyadh car bombs,oil_market_phrase
2004-12-31,baghdad oil refinery set alight,oil_market_phrase
2005-01-02,insurgent war crippling iraqi oil industry,oil_market_phrase
2005-01-06,oil price retreats,oil_market_phrase
2005-01-06,oil prices fall,oil_market_phrase
2005-01-07,supply fears spark oil price rise,oil_market_phrase
2005-01-08,oil prices steady after sharp rise,oil_market_phrase
2005-01-10,oil companies blamed for high regional petrol,oil_market_phrase
2005-01-11,hunter mp hits out at higher country petrol prices,fuel_prices
2005-01-12,accc asked to probe mt gambier fuel prices,fuel_prices
2005-01-12,oil price bubbles higher,oil_market_phrase
