date,brent_price,price_change,daily_return,daily_return_pct,absolute_return,absolute_return_pct,return_direction,is_extreme_p90,is_extreme_p95,is_extreme_p99,total_headlines,oil_headlines,market_price_headlines,supply_geopolitics_headlines,consumer_fuel_headlines,oil_share,market_price_share,supply_geopolitics_share,consumer_fuel_share
2004-01-05,32.3,2.7499999999999964,0.09306260575296088,9.306260575296088,0.09306260575296088,9.306260575296088,increase,True,True,True,215,0,0,0,0,0.0,0.0,0.0,0.0
2016-12-01,52.28,4.329999999999998,0.09030239833159537,9.030239833159538,0.09030239833159537,9.030239833159538,increase,True,True,True,194,2,1,2,0,0.0103092783505154,0.0051546391752577,0.0103092783505154,0.0
2016-02-26,35.76,2.9299999999999997,0.08924763935424918,8.924763935424917,0.08924763935424918,8.924763935424917,increase,True,True,True,235,0,0,0,0,0.0,0.0,0.0,0.0
2020-04-15,19.8,-1.9399999999999977,-0.08923643054277819,-8.923643054277818,0.08923643054277819,8.923643054277818,decrease,True,True,True,96,0,0,0,0,0.0,0.0,0.0,0.0
2015-02-02,51.74,4.219999999999999,0.08880471380471366,8.880471380471366,0.08880471380471366,8.880471380471366,increase,True,True,True,237,2,1,0,1,0.0084388185654008,0.0042194092827004,0.0,0.0042194092827004
2008-10-29,64.0,5.130000000000003,0.08714115848479698,8.714115848479697,0.08714115848479698,8.714115848479697,increase,True,True,True,249,0,0,0,0,0.0,0.0,0.0,0.0
2008-10-10,74.58,-7.070000000000007,-0.08658909981628915,-8.658909981628915,0.08658909981628915,8.658909981628915,decrease,True,True,True,246,0,0,0,0,0.0,0.0,0.0,0.0
2003-03-21,25.59,-2.41,-0.08607142857142858,-8.607142857142858,0.08607142857142858,8.607142857142858,decrease,True,True,True,215,2,1,2,0,0.0093023255813953,0.0046511627906976,0.0093023255813953,0.0
2008-06-06,132.81,10.450000000000003,0.0854037267080745,8.54037267080745,0.0854037267080745,8.54037267080745,increase,True,True,True,247,1,1,0,0,0.0040485829959514,0.0040485829959514,0.0,0.0
2009-02-17,39.69,-3.6700000000000017,-0.08464022140221406,-8.464022140221406,0.08464022140221406,8.464022140221406,decrease,True,True,True,246,0,0,0,0,0.0,0.0,0.0,0.0
2020-06-11,37.76,-3.4200000000000017,-0.08305002428363284,-8.305002428363284,0.08305002428363284,8.305002428363284,decrease,True,True,True,150,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-18,62.11,-5.6200000000000045,-0.08297652443525771,-8.297652443525772,0.08297652443525771,8.297652443525772,decrease,True,True,True,90,0,0,0,0,0.0,0.0,0.0,0.0
2009-02-13,43.36,-3.8699999999999974,-0.08193944526783814,-8.193944526783813,0.08193944526783814,8.193944526783813,decrease,True,True,True,244,0,0,0,0,0.0,0.0,0.0,0.0
2008-11-06,56.14,-4.950000000000003,-0.08102799148796858,-8.102799148796858,0.08102799148796858,8.102799148796858,decrease,True,True,True,245,1,0,0,1,0.0040816326530612,0.0,0.0,0.0040816326530612
2020-03-26,23.55,-2.0700000000000003,-0.08079625292740045,-8.079625292740044,0.08079625292740045,8.079625292740044,decrease,True,True,True,102,0,0,0,0,0.0,0.0,0.0,0.0
2008-12-08,40.02,2.980000000000004,0.08045356371490286,8.045356371490286,0.08045356371490286,8.045356371490286,increase,True,True,True,244,1,0,0,1,0.0040983606557377,0.0,0.0,0.0040983606557377
2011-05-05,111.93,-9.61999999999999,-0.07914438502673793,-7.914438502673793,0.07914438502673793,7.914438502673793,decrease,True,True,False,243,0,0,0,0,0.0,0.0,0.0,0.0
2015-08-28,47.97,3.509999999999998,0.07894736842105265,7.8947368421052655,0.07894736842105265,7.8947368421052655,increase,True,True,False,273,0,0,0,0,0.0,0.0,0.0,0.0
2009-03-04,46.07,3.3500000000000014,0.07841760299625467,7.8417602996254665,0.07841760299625467,7.8417602996254665,increase,True,True,False,246,0,0,0,0,0.0,0.0,0.0,0.0
2008-08-21,117.24,8.519999999999996,0.07836644591611486,7.836644591611486,0.07836644591611486,7.836644591611486,increase,True,True,False,244,1,0,1,0,0.0040983606557377,0.0,0.0040983606557377,0.0
2015-01-05,51.08,-4.300000000000004,-0.07764535933550021,-7.764535933550021,0.07764535933550021,7.764535933550021,decrease,True,True,False,84,1,0,0,1,0.0119047619047619,0.0,0.0,0.0119047619047619
2020-05-18,33.3,2.349999999999998,0.07592891760904674,7.592891760904674,0.07592891760904674,7.592891760904674,increase,True,True,False,130,1,0,0,1,0.0076923076923076,0.0,0.0,0.0076923076923076
2020-06-01,36.74,2.5900000000000034,0.0758418740849196,7.58418740849196,0.0758418740849196,7.58418740849196,increase,True,True,False,129,0,0,0,0,0.0,0.0,0.0,0.0
2008-09-02,104.94,-8.549999999999997,-0.07533703409992065,-7.533703409992065,0.07533703409992065,7.533703409992065,decrease,True,True,False,247,0,0,0,0,0.0,0.0,0.0,0.0
2015-09-16,49.35,3.440000000000005,0.07492920932258773,7.492920932258773,0.07492920932258773,7.492920932258773,increase,True,True,False,303,0,0,0,0,0.0,0.0,0.0,0.0
2009-02-19,42.36,2.950000000000003,0.07485409794468412,7.485409794468412,0.07485409794468412,7.485409794468412,increase,True,True,False,248,0,0,0,0,0.0,0.0,0.0,0.0
2020-11-09,40.93,2.8500000000000014,0.07484243697478998,7.484243697478998,0.07484243697478998,7.484243697478998,increase,True,True,False,127,0,0,0,0,0.0,0.0,0.0,0.0
2020-04-14,21.74,1.509999999999998,0.07464162135442409,7.464162135442409,0.07464162135442409,7.464162135442409,increase,True,True,False,89,0,0,0,0,0.0,0.0,0.0,0.0
2008-09-22,100.43,6.970000000000013,0.07457735929809561,7.457735929809561,0.07457735929809561,7.457735929809561,increase,True,True,False,246,0,0,0,0,0.0,0.0,0.0,0.0
2008-12-23,35.27,-2.809999999999995,-0.07379201680672254,-7.379201680672254,0.07379201680672254,7.379201680672254,decrease,True,True,False,245,3,0,1,2,0.0122448979591836,0.0,0.0040816326530612,0.0081632653061224
2003-03-14,31.48,-2.4999999999999964,-0.07357268981753962,-7.357268981753961,0.07357268981753962,7.357268981753961,decrease,True,True,False,229,1,0,0,1,0.0043668122270742,0.0,0.0,0.0043668122270742
2016-11-30,47.95,3.270000000000003,0.07318710832587305,7.318710832587305,0.07318710832587305,7.318710832587305,increase,True,True,False,220,1,0,1,0,0.0045454545454545,0.0,0.0045454545454545,0.0
2015-02-13,60.33,4.100000000000001,0.07291481415614443,7.2914814156144425,0.07291481415614443,7.2914814156144425,increase,True,True,False,278,0,0,0,0,0.0,0.0,0.0,0.0
2003-12-22,28.78,-2.25,-0.07251047373509512,-7.251047373509511,0.07251047373509512,7.251047373509511,decrease,True,True,False,184,0,0,0,0,0.0,0.0,0.0,0.0
2020-04-06,22.58,-1.75,-0.07192766132346895,-7.192766132346895,0.07192766132346895,7.192766132346895,decrease,True,True,False,82,0,0,0,0,0.0,0.0,0.0,0.0
2015-08-03,49.49,-3.799999999999997,-0.07130793769938071,-7.130793769938071,0.07130793769938071,7.130793769938071,decrease,True,True,False,258,0,0,0,0,0.0,0.0,0.0,0.0
2009-01-08,42.94,-3.289999999999999,-0.07116590958252211,-7.116590958252211,0.07116590958252211,7.116590958252211,decrease,True,True,False,247,0,0,0,0,0.0,0.0,0.0,0.0
2014-11-28,71.89,-5.5,-0.07106861351595817,-7.106861351595817,0.07106861351595817,7.106861351595817,decrease,True,True,False,268,4,4,1,0,0.0149253731343283,0.0149253731343283,0.003731343283582,0.0
2004-07-01,35.58,2.3599999999999994,0.07104154124021678,7.104154124021678,0.07104154124021678,7.104154124021678,increase,True,True,False,230,1,0,1,0,0.0043478260869565,0.0,0.0043478260869565,0.0
2020-05-14,29.87,1.9800000000000004,0.07099318752240946,7.099318752240946,0.07099318752240946,7.099318752240946,increase,True,True,False,123,0,0,0,0,0.0,0.0,0.0,0.0
2020-03-23,23.75,-1.8000000000000007,-0.07045009784735812,-7.045009784735812,0.07045009784735812,7.045009784735812,decrease,True,True,False,99,0,0,0,0,0.0,0.0,0.0,0.0
2005-03-23,51.52,-3.8699999999999974,-0.06986820725762766,-6.986820725762765,0.06986820725762766,6.986820725762765,decrease,True,True,False,237,1,0,0,1,0.0042194092827004,0.0,0.0,0.0042194092827004
2019-01-02,54.06,3.490000000000002,0.06901324896183514,6.901324896183514,0.06901324896183514,6.901324896183514,increase,True,True,False,67,0,0,0,0,0.0,0.0,0.0,0.0
