date,total_headlines,oil_headlines,market_price_headlines,supply_geopolitics_headlines,consumer_fuel_headlines,oil_share,oil_share_per_1000,market_price_share,market_price_share_per_1000,supply_geopolitics_share,supply_geopolitics_share_per_1000,consumer_fuel_share,consumer_fuel_share_per_1000
2003-05-23,245,1,0,0,1,0.004081632653061225,4.081632653061225,0.0,0.0,0.0,0.0,0.004081632653061225,4.081632653061225
2003-05-24,155,1,0,1,0,0.0064516129032258064,6.451612903225806,0.0,0.0,0.0064516129032258064,6.451612903225806,0.0,0.0
2003-05-25,145,1,0,1,0,0.006896551724137931,6.896551724137931,0.0,0.0,0.006896551724137931,6.896551724137931,0.0,0.0
2003-05-26,244,1,0,1,0,0.004098360655737705,4.0983606557377055,0.0,0.0,0.004098360655737705,4.0983606557377055,0.0,0.0
2003-05-27,238,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-28,240,1,0,0,1,0.004166666666666667,4.166666666666667,0.0,0.0,0.0,0.0,0.004166666666666667,4.166666666666667
2003-05-29,238,1,0,0,1,0.004201680672268907,4.201680672268908,0.0,0.0,0.0,0.0,0.004201680672268907,4.201680672268908
2003-05-30,241,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-31,158,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,164,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-02,240,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-03,239,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-04,241,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-05,241,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-06,240,1,0,0,1,0.004166666666666667,4.166666666666667,0.0,0.0,0.0,0.0,0.004166666666666667,4.166666666666667
2003-06-07,156,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-08,166,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-09,234,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-10,235,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-11,241,1,0,1,0,0.004149377593360996,4.149377593360996,0.0,0.0,0.004149377593360996,4.149377593360996,0.0,0.0
2003-06-12,237,1,0,0,1,0.004219409282700422,4.219409282700422,0.0,0.0,0.0,0.0,0.004219409282700422,4.219409282700422
2003-06-13,241,1,0,1,0,0.004149377593360996,4.149377593360996,0.0,0.0,0.004149377593360996,4.149377593360996,0.0,0.0
2003-06-14,131,1,0,1,0,0.007633587786259542,7.633587786259541,0.0,0.0,0.007633587786259542,7.633587786259541,0.0,0.0
2003-06-15,120,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-16,240,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-17,243,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-18,237,1,0,1,0,0.004219409282700422,4.219409282700422,0.0,0.0,0.004219409282700422,4.219409282700422,0.0,0.0
2003-06-19,239,1,0,1,0,0.0041841004184100415,4.184100418410042,0.0,0.0,0.0041841004184100415,4.184100418410042,0.0,0.0
2003-06-20,245,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-21,167,1,0,1,0,0.005988023952095809,5.9880239520958085,0.0,0.0,0.005988023952095809,5.9880239520958085,0.0,0.0
2003-06-22,158,3,0,3,0,0.0189873417721519,18.9873417721519,0.0,0.0,0.0189873417721519,18.9873417721519,0.0,0.0
2003-06-23,236,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-24,246,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-25,243,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-26,239,1,0,1,0,0.0041841004184100415,4.184100418410042,0.0,0.0,0.0041841004184100415,4.184100418410042,0.0,0.0
2003-06-27,243,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-28,138,1,0,0,1,0.007246376811594203,7.246376811594203,0.0,0.0,0.0,0.0,0.007246376811594203,7.246376811594203
2003-06-29,136,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-30,210,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,229,1,0,0,1,0.004366812227074236,4.366812227074235,0.0,0.0,0.0,0.0,0.004366812227074236,4.366812227074235
2003-07-02,215,1,0,0,1,0.004651162790697674,4.651162790697675,0.0,0.0,0.0,0.0,0.004651162790697674,4.651162790697675
2003-07-03,196,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-04,238,1,0,0,1,0.004201680672268907,4.201680672268908,0.0,0.0,0.0,0.0,0.004201680672268907,4.201680672268908
2003-07-05,127,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-06,127,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-07,233,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-08,238,1,0,1,0,0.004201680672268907,4.201680672268908,0.0,0.0,0.004201680672268907,4.201680672268908,0.0,0.0
2003-07-09,236,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-10,242,1,0,0,1,0.004132231404958678,4.132231404958678,0.0,0.0,0.0,0.0,0.004132231404958678,4.132231404958678
2003-07-11,233,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-12,149,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-13,156,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-14,231,1,0,1,0,0.004329004329004329,4.329004329004329,0.0,0.0,0.004329004329004329,4.329004329004329,0.0,0.0
2003-07-15,236,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-16,242,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-17,240,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-18,242,1,0,1,0,0.004132231404958678,4.132231404958678,0.0,0.0,0.004132231404958678,4.132231404958678,0.0,0.0
2003-07-19,122,1,0,1,0,0.00819672131147541,8.196721311475411,0.0,0.0,0.00819672131147541,8.196721311475411,0.0,0.0
2003-07-20,118,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-21,240,1,0,0,1,0.004166666666666667,4.166666666666667,0.0,0.0,0.0,0.0,0.004166666666666667,4.166666666666667
2003-07-22,239,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-23,242,1,0,1,0,0.004132231404958678,4.132231404958678,0.0,0.0,0.004132231404958678,4.132231404958678,0.0,0.0
2003-07-24,244,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-25,241,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-26,159,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-27,152,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-28,227,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-29,239,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-30,227,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-31,245,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,241,1,0,1,0,0.004149377593360996,4.149377593360996,0.0,0.0,0.004149377593360996,4.149377593360996,0.0,0.0
2003-08-02,122,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-03,128,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-04,244,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-05,244,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-06,246,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-07,239,1,0,0,1,0.0041841004184100415,4.184100418410042,0.0,0.0,0.0,0.0,0.0041841004184100415,4.184100418410042
2003-08-08,231,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-09,125,1,1,0,0,0.008,8.0,0.008,8.0,0.0,0.0,0.0,0.0
2003-08-10,124,1,0,1,0,0.008064516129032258,8.064516129032258,0.0,0.0,0.008064516129032258,8.064516129032258,0.0,0.0
2003-08-11,236,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-12,245,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-13,242,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-14,219,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-15,244,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-16,132,1,0,1,0,0.007575757575757576,7.575757575757576,0.0,0.0,0.007575757575757576,7.575757575757576,0.0,0.0
2003-08-17,111,2,0,2,0,0.018018018018018018,18.01801801801802,0.0,0.0,0.018018018018018018,18.01801801801802,0.0,0.0
2003-08-18,240,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-19,245,1,0,1,0,0.004081632653061225,4.081632653061225,0.0,0.0,0.004081632653061225,4.081632653061225,0.0,0.0
2003-08-20,233,1,0,0,1,0.004291845493562232,4.291845493562231,0.0,0.0,0.0,0.0,0.004291845493562232,4.291845493562231
2003-08-21,226,1,1,0,0,0.004424778761061947,4.424778761061947,0.004424778761061947,4.424778761061947,0.0,0.0,0.0,0.0
2003-08-22,206,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-23,133,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-24,112,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-25,222,1,0,1,0,0.0045045045045045045,4.504504504504505,0.0,0.0,0.0045045045045045045,4.504504504504505,0.0,0.0
2003-08-26,225,1,0,1,0,0.0044444444444444444,4.444444444444445,0.0,0.0,0.0044444444444444444,4.444444444444445,0.0,0.0
2003-08-27,206,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-28,215,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-29,208,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-30,144,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-31,140,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,235,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-02,226,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-03,216,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-04,225,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-05,222,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-06,106,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-07,98,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-08,236,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-09,244,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-10,220,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-11,218,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-12,229,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-13,114,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-14,106,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-15,216,1,0,1,0,0.004629629629629629,4.62962962962963,0.0,0.0,0.004629629629629629,4.62962962962963,0.0,0.0
2003-09-16,200,1,0,1,0,0.005,5.0,0.0,0.0,0.005,5.0,0.0,0.0
2003-09-17,235,1,0,1,0,0.00425531914893617,4.25531914893617,0.0,0.0,0.00425531914893617,4.25531914893617,0.0,0.0
2003-09-18,232,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
